"date","title","status","total_price","price","shipping"
"['Jan-09 10:33']","Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless Bluetooth Headphon","Pre-Owned","158.34","149.99","8.35"
"[]","Sony WH1000XM2: Over Ear Wireless Bluetooth Noise Cancelling Headphones - Gold","Brand New","269.95","269.95","0.0"
"['Jan-08 22:35']","*BRAND NEW SEALED* Sony WH-1000XM2 Noise Cancelling Headphones Gold Free Ship","Brand New","275.0","275.0","0.0"
"[]","Sony WH1000XM2: Wireless Bluetooth Noise Cancelling Headphones with Case - Blk","Brand New","269.95","269.95","0.0"
"['Jan-08 20:22']","NEW SEALED Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones- BLACK PRIORITY","Brand New","289.99","289.99","0.0"
"[]","IN STOCK BRAND NEW Sony WH1000XM2N Wireless Noise Cancelling Headphones - Gold","Brand New","278.95","278.95","0.0"
"[]","Sony - WH-1000XM2 Wireless Over-the-Ear Noise Canceling Headphones - Gold","Brand New","299.95","299.95","0.0"
"[]","*BRAND NEW SEALED* Sony WH-1000XM2 Noise Cancelling Headphones - Black","Brand New","285.49","285.49","0.0"
"[]","Sony WH-1000X M2 Noise Cancelling Bluetooth Headphones - BNIB","Brand New","272.51","272.51","0.0"
"['Jan-08 09:31']","NEW SEALED Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones- BLACK PRIORITY","Brand New","289.99","289.99","0.0"
"[]","Sony WH-1000XM2 Wireless Noise Cancelling - High-Res Audio - Bluetooth - NEW!","Brand New","305.0","305.0","0.0"
"['Jan-08 08:44']","Sony WH1000XM2 Premium Noise Cancelling Wireless Headphones Black WH1000XM2/B","Brand New","299.99","299.99","0.0"
"[]","BRAND NEW SEALED Sony WH-1000XM2 Noise Cancelling Headphones - Gold Free Ship","Brand New","269.33","269.33","0.0"
"[]","Sony - WH-1000XM2 Wireless Over-the-Ear Noise Canceling Headphones Japan-Gold","Brand New","279.99","279.99","0.0"
"[]","Sony - WH-1000XM2 Wireless Over-the-Ear Noise Canceling Headphones - Gold","Brand New","298.99","298.99","0.0"
"['Jan-07 17:38']","SONY WH-1000XM2BM WIRELESS HEADSET JAPAN NEWEST TECH.. NEW & SEALED - FAST SHIP!","Brand New","289.99","289.99","0.0"
"[]","Sony - WH-1000XM2 Wireless Over-the-Ear Noise Canceling Headphones Japan-Gold","Brand New","279.99","279.99","0.0"
"['Jan-07 16:41']","SONY WH-1000XM2BM WIRELESS HEADSET JAPAN NEWEST TECH.. NEW & SEALED - FAST SHIP!","Brand New","289.99","289.99","0.0"
"['Jan-07 16:30']","Sony Noise Cancelling Headphones WH1000XM2:Over Ear Wireless Bluetooth Headphone","Pre-Owned","255.55","245.5","10.05"
"[]","Sony WH-1000XM2 Headphones - Black","Pre-Owned","284.99","275.0","9.99"
"[]","Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - Gold","Brand New","274.49","274.49","0.0"
"[]","Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - Gold","Brand New","275.0","275.0","0.0"
"['Jan-07 14:00']","Sony WH-1000XM2BM Wireless Noise Canceling Headset (12178-14AJJ)","Brand New","295.0","295.0","0.0"
"[]","Sony - 1000X mkII Premium Wireless Noise Cancelling Headphones - Gold BRAND NEW","Brand New","274.95","274.95","0.0"
"['Jan-07 10:06']","~~NEW~~Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - FREE SHIPPING!!","Brand New","299.99","299.99","0.0"
"[]","IN STOCK BRAND NEW Sony WH1000XM2N Wireless Noise Cancelling Headphones - BLACK","Brand New","297.95","297.95","0.0"
"[]","NEW 2nd Generation Sony WH-1000XM2 Headphones-Gol d ~FREE SHIPPING~","Brand New","285.99","285.99","0.0"
"['Jan-07 04:17']","Sony WH-1000Xm2 Wireless Noise Cancelling Headphones NIB","Brand New","219.7","200.0","19.7"
"['Jan-07 04:03']","Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - BNIB","Brand New","314.99","309.99","5.0"
"['Jan-07 01:37']","~~NEW~~Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - FREE SHIPPING!!","Brand New","280.0","280.0","0.0"
"[]","Sony - WH-1000XM2 Wireless Over-the-Ear Noise Canceling Headphones - Gold","Brand New","277.75","265.0","12.75"
"['Jan-06 21:26']","Sony Wh-1000XM2 wireless Noise Canceling Headphones Bluetooth BRAND NEW SEALED","GOLD Headphones BRAND NEW SEALED Brand New","274.6","261.0","13.6"
"['Jan-06 21:25']","Sony Wh-1000XM2 wireless Noise Canceling Headphones Bluetooth BRAND NEW SEALED","GOLD Headphones BRAND NEW SEALED Brand New","298.6","285.0","13.6"
"['Jan-06 21:22']","Sony Wh-1000XM2 wireless Noise Canceling Headphones Bluetooth BRAND NEW SEALED","GOLD Headphones BRAND NEW SEALED Brand New","273.6","260.0","13.6"
"['Jan-06 20:35']","Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - BNIB- Black","Brand New","275.0","275.0","0.0"
"['Jan-06 17:51']","Sony WH-1000XM2 Noise Cancelling Headphones Gold Drand New","Brand New","246.41","246.41","0.0"
"['Jan-06 17:30']","Sony WH-1000XM2 Wireless Noise Cancelling Headphones Black","Pre-Owned","227.5","212.5","15.0"
"[]","SEALED NEW 2nd Gen Sony WH-1000XM2 WH1000XM2NM Headphones CHAMPAGNE GOLD","Brand New","278.88","278.88","0.0"
